Song_title;Song_writer;Listening;Genre
Стеклянная;'GUMA';2:46;русская поп-музыка
Я в моменте;'Джарахов', 'Markul';2:06;русский рэп
Федерико Феллини;'Galibri & Mavik';2:16;русская поп-музыка
Птичка;'HammAli & Navai';3:10;русская поп-музыка
Baby mama;'Скриптонит', 'Райда';3:51;русский рэп
Пушка;'10AGE';3:23;русский рэп
Пополам;'BRANYA', 'MACAN';2:21;русский рэп
Я в моменте 2;'Mary Gu', 'Джарахов';2:20;русская поп-музыка
Rampampam;'Minelli';3:20;танцевальная музыка
STAY;'The Kid LAROI', 'Justin Bieber';2:21;поп
Love Tonight feat. Sakso;'Antwerp House Squad', 'Sakso';2:52;танцевальная музыка
Beggin';'Måneskin';3:31;рок
Пошла жара;'GAYAZOV$ BROTHER$', 'Filatov & Karas';2:49;русская поп-музыка
I WANNA BE YOUR SLAVE;'Måneskin';2:53;рок
Заманчивая;'MATRANG';3:35;русский рэп
Я так соскучился;'Порнофильмы';6:48;панк
Она не я;'Artik & Asti';3:33;русская поп-музыка
INDUSTRY BABY;'Lil Nas X', 'Jack Harlow';3:31;иностранный рэп и хип-хоп
Ты была права;'Баста';1:58;русский рэп
Indie Rock (Vogue) RUS;'LOBODA';3:24;русская поп-музыка
Close Eyes;'DVRST';2:12;иностранный рэп и хип-хоп
Ты далеко;'SLAVA MARLOW';2:25;русская поп-музыка
Astronaut In The Ocean;'Masked Wolf';2:12;иностранный рэп и хип-хоп
Кукла колдуна;'Король и Шут';3:23;панк
Розовый фламинго;'Cream Soda', 'Алёна Свиридова';3:43;русская поп-музыка
На чиле;'Джиган', 'ЕГОР КРИД', 'The Limba', 'blago white', 'OG Buda', 'Тимати', 'SODA LUV', 'GUF';5:41;русский рэп
На часах ноль-ноль;'Dabro';3:26;русская поп-музыка
Метро или Ламбо;'ERSHOV', 'Kagramanov';2:19;русская поп-музыка
Minor;'Miyagi & Andy Panda';2:55;русский рэп
Ночь (Cover);'CHEBANOV';2:47;русская поп-музыка
Нету интереса;'10AGE';3:04;русский рэп
Мне по*уй;'LOVV66', 'Скриптонит';2:48;русский рэп
Мальчик на девятке;'DEAD BLONDE';3:35;танцевальная музыка
Венера-Юпитер;'Ваня Дмитриенко';2:07;русская поп-музыка
ZITTI E BUONI Италия. Победитель на «Евровидении-2021»;'Måneskin';3:14;рок
Патрон;'Miyagi & Andy Panda';3:44;русский рэп
Тебе;'Zivert';4:34;русская поп-музыка
Мне 20;'просто Лера';3:12;русская поп-музыка
PUSSY BOY;'ЕГОР КРИД';2:14;русский рэп
У окна;'HammAli & Navai';2:53;русский рэп
DEL MAR;'Zivert';3:40;русская поп-музыка
Не Бруклин;'MOT', 'LYRIQ';3:04;русская поп-музыка
Солнце Золотое;'Dose', 'ЛСП';2:51;русская поп-музыка
Там ревели горы;'Miyagi & Andy Panda';2:56;русский рэп
Love Tonight;'Shouse';8:13;электроника
Истеричка;'Artik & Asti';3:41;русская поп-музыка
Довела;'VERBEE';2:15;русская поп-музыка
ARISTOCRAT;'MORGENSHTERN';2:06;русский рэп
Цифры;'Скриптонит', 'qurt', 'Индаблэк', 'RODIONIS';3:28;русский рэп
Сердце не игрушка;'ASAMMUELL';2:23;русская поп-музыка
Amore Море, Goodbye;'Filatov & Karas', 'Мумий Тролль';2:13;русская поп-музыка
Комета;'JONY';2:41;русская поп-музыка
Горький вкус;'Султан Лагучев';2:58;кавказская музыка
Cold Heart PNAU Remix;'Elton John', 'Dua Lipa', 'Pnau';3:22;поп
БЕЛАМОРЕ;'VESNA305';2:47;русская поп-музыка
Love Tonight (All I Need Is Your) Originally Performed by Shouse;'Benjamin Lukas';3:56;поп
Bad Habits;'Ed Sheeran';3:51;поп
Копия пиратская;'Mekhman';2:55;русская поп-музыка
Seven Nation Army;'Gaullin', 'Julian Perretta';2:53;танцевальная музыка
Astronaut In The Ocean Alok Remix;'Masked Wolf', 'Alok';2:08;танцевальная музыка
ЗДРАВСТВУЙТЕ;'ЕГОР КРИД', 'OG Buda';2:16;русский рэп
la di die;'Nessa Barrett', 'jxdn';3:15;рок
Положение;'Скриптонит';4:42;русский рэп
Ягода малинка;'ХАБИБ';2:27;русская поп-музыка
Бесприданница;'DEAD BLONDE';3:00;русская поп-музыка
Head Up;'The Score';2:49;альтернатива
Candy Flip;'Элджей';2:22;русский рэп
Сияй;"""Ramil'""";2:01;русская поп-музыка
I Got Love;'Miyagi & Эндшпиль', 'Рем Дигга';4:36;русский рэп
Blinding Lights;'The Weeknd';3:20;r&b
каждый, кто делал тебе больно;'забей, лерочка';3:33;местная инди-музыка
Сон;"""Ramil'""";2:57;русская поп-музыка
ПАТРИАРХАТ;'MATRANG';2:14;русский рэп
MONTERO (Call Me By Your Name);'Lil Nas X';2:17;поп
Прятки;'HammAli & Navai';3:13;русский рэп
Любовь после тебя;'Artik & Asti';4:05;русская поп-музыка
Чистый из сериала «Псих»;'Скриптонит';3:13;русский рэп
Седьмой лепесток;'Максим Круженков', 'Hi-Fi';2:54;русская поп-музыка
Love Tonight Radio Edit;'Antwerp House Squad', 'Sakso';3:57;танцевальная музыка
Say It Right;'Sunlike Brothers', 'Micano';2:45;танцевальная музыка
Fake;'The Tech Thieves';2:21;поп
Караван;'Bodiev';1:41;русский рэп
I WANT YOU BACK;'Dazel Ukuto';2:14;электроника
Take My Breath;'The Weeknd';3:40;r&b
Wrecked;'Imagine Dragons';4:03;иностранный рок
Уляля (prod. by Keskia Beats);'Гербер';1:41;русский рэп
Юность;'Dabro';3:39;русская поп-музыка
Лютики;'просто Лера';3:02;русская поп-музыка
Зима в сердце;'Моя Мишель';4:05;русская поп-музыка
Ocean;'Elsa & Emilie';3:59;поп
Лесник;'Король и Шут';3:11;русский рок
Рокки;'Zivert';2:57;русская поп-музыка
БОГАТЫМИ;'ФОГЕЛЬ';2:45;русская поп-музыка
ТЫ ГОРИШЬ КАК ОГОНЬ;'SLAVA MARLOW';2:19;иностранный рэп и хип-хоп
Flashbacks;'INNA';2:57;танцевальная музыка
ночь;'ooes';2:29;русская поп-музыка
Аugust;'Intelligency';3:27;электроника
Стреляй;'Лёша Свик';3:02;русская поп-музыка
Paris;'Else';3:29;электроника
Инопланетяне;'просто Лера';2:52;русская поп-музыка
